,laptop name,GPU,Main Memory,Secondary Memory,Screen Dimension,Weight
39,"HP Pavilion x360 2-in-1 14-ek1002np 14"" Intel Core i7-1355U 1.7GHz ", 16GB RAM , 512GB SSD,,"14""",1.51kg
40,LG Gram 14 (14Z90P) Intel Core i5-1135G7 2.4GHz , 8GB RAM , 256GB SSD,,"14""",999 g
41,"MSI Cyborg 15 A12VF 15.6"" FHD Intel Core i5-12450H 2GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 512GB SSD,"15.6""",1.98kg
42,Asus ZenBook Flip 15 UX564 Intel Core i7-11370H 3.3GHz , 16GB RAM , 1TB SSD,,"15.6""",1.9kg
43,"MSI Prestige 15 A11SC-045 15.6"" UHD Intel Core i7-1195G7 2.9GHz ", Nvidia GeForce GTX 1650 Laptop , 32GB RAM , 1TB SSD,"15.6""",1.69kg
44,"Asus ExpertBook B9 OLED 14"" Intel Core i7-1355U 1.7GHz ", 16GB RAM , 1TB SSD,,"14""",990 g
45,"Acer Nitro 16 AN16-51-56VR 16"" Intel Core i5-13500H 2.6GHz ", Nvidia GeForce RTX 4050 Laptop , 8GB RAM , 512GB SSD,"16""",2.8kg
46,Lenovo ThinkPad X13 Intel Core i7-10610U 1.8GHz , 16GB RAM , 1TB SSD,,"13.3""",1.29kg
47,"Infinix Zero Book Ultra 15.6"" Intel Core i9-12900H 2.5GHz ", 32GB RAM , 1TB SSD,,"15.6""",1.8kg
48,"Asus Zenbook 14 Flip OLED UN5401QA 14"" AMD Ryzen 9 5900HX 3.3GHz ", 16GB RAM , 512GB SSD,,"14""",1.4kg
49,"Lenovo Legion 5 15.6"" AMD Ryzen 7 4800H 2.9GHz ", Nvidia GeForce GTX 1650 Laptop , 8GB RAM , 512GB SSD,"15.6""",2.3kg
50,"HP Elite Dragonfly G2 13.3"" Intel Core i5-1145G7 2.6GHz ", 16GB RAM , 512GB SSD,,"13.3""",988.8 g
51,Honor MagicBook 14 (2022) Intel Core i5-12500H 2.5GHz , Nvidia GeForce RTX 2050 Laptop , 16GB RAM , 512GB SSD,"14""",1.58kg
52,"Apple MacBook Air (2022) 13.6"" Apple M2 8-core ", 24GB RAM , 2TB SSD,,"13.6""",1.24kg
53,"MSI WF76 11UI-647 17.3"" FHD Intel Core i7-11800H 2.4GHz ", Nvidia Quadro T1200 , 64GB RAM , 2TB SSD,"17.3""",2.6kg
54,"Acer Nitro 5 15.6"" Intel Core i5-11400H 2.7GHz ", Nvidia GeForce GTX 1650 Laptop , 8GB RAM , 256GB SSD,"15.6""",2.3kg
55,"Microsoft Surface Pro 7 12.3"" Intel Core i5-1035G4 1.1GHz ", 16GB RAM , 256GB SSD,,"12.3""",775 g
56,Lenovo ThinkPad X12 Detachable Intel Core i3-1110G4 1.8GHz , 8GB RAM , 256GB SSD,,"12.3""",1.2kg
57,"Acer Swift Go 14 SFG14-71-785V 14"" Intel Core i7-13700H 2.4GHz ", 16GB RAM , 512GB SSD,,"14""",1.3kg
58,Asus ZenBook Duo 14 UX482 Intel Core i7-1165G7 2.8GHz , 16GB RAM , 1TB SSD,,"14""",1.62kg
59,"Apple MacBook Pro 16"" Intel Core i7 2.6GHz ", 16GB RAM , 512GB SSD,,"16""",2kg
60,"Lenovo Yoga C930 13.9"" UHD Intel Core i7-8550U 1.8GHz ", 16GB RAM , 1TB SSD,,"13.9""",1.38kg
61,Asus ROG Strix G15 G513 AMD Ryzen 7 4800H 2.9GHz , Nvidia GeForce GTX 1650 Laptop , 16GB RAM , 1TB SSD,"15.6""",2.1kg
62,"Voyo Vbook i7 Plus 12.6"" Intel Core i7-7500U 2.7GHz ", 16GB RAM , 512GB SSD,,"12.6""",900 g
63,"Samsung Galaxy Book2 Pro 360 15.6"" Intel Core i7-1260P 2.1GHz ", 16GB RAM , 1TB SSD,,"15.6""",1.41kg
64,"MSI GF63 Thin 11UD 15.6"" FHD Intel Core i7-11800H 2.3GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 16GB RAM , 512GB SSD,"15.6""",1.86kg
65,"Apple MacBook Air (2020) 13.3"" Apple M1 ", 8GB RAM , 512GB SSD,,"13.3""",1.29kg
66,"MSI WF66 11UI-268 15.6"" Intel Core i7-11800H 2.4GHz ", Nvidia Quadro T1200 , 16GB RAM , 512GB SSD,"15.6""",2.25kg
67,"Lenovo ThinkPad X1 Yoga (2018) 14"" FHD IPS Intel Core i5-8250U 1.6GHz ", 8GB RAM , 512GB SSD,,"14""",1.4kg
68,"HP Spectre x360 15.6"" Intel Core i7-8550U 1.8GHz ", 16GB , 512GB SSD,,"15.6""",2.14kg
69,Lenovo ThinkPad X13 Intel Core i5-10310U 1.7GHz , 16GB RAM , 512GB SSD,,"13.3""",1.29kg
70,Lenovo Legion 5i 15 Intel Core i7-10750H 2.6GHz , Nvidia GeForce GTX 1660 Ti Laptop , 8GB RAM , 1TB HDD + 512GB SSD,"15.6""",2.3kg
71,Xiaomi RedmiBook Pro 15 Intel Core i7-11370H 3.3GHz , 16GB RAM , 512GB SSD,,"15.6""",1.79kg
72,"Lenovo Yoga C930 13.9"" Intel Core i5-8250U 1.6GHz ", 8GB RAM , 256GB SSD,,"13.9""",1.38kg
73,"Dell XPS 17"" (2020) Intel Core i7-10750H 2.6GHz ", 8GB RAM , 512GB SSD,,"17""",2.11kg
74,"Acer Nitro 5 AN515-46-R319 15.6"" AMD Ryzen 5 6600H 3.3GHz ", Nvidia GeForce RTX 3060 Laptop , 8GB RAM , 512GB SSD,"15.6""",2kg
75,Asus ExpertBook B9 14” Intel Core i7-1165G7 2.8GHz , 16GB RAM , 1TB SSD,,"14""",880 g
76,"MSI Prestige 15 A11SC-044 15.6"" FHD Intel Core i7-1195G7 2.9GHz ", Nvidia GeForce GTX 1650 Laptop , 16GB RAM , 1TB SSD,"15.6""",1.69kg
77,"Huawei MateBook D 14 (2022) 14"" Intel Core i7-1260P 2.1GHz ", 16GB RAM , 512GB SSD,,"14""",1.38kg
78,"MSI Cyborg 15 A12UCX	15.6"" FHD Intel Core i5-12450H 2GHz ", Nvidia GeForce RTX 2050 Laptop , 16GB RAM , 512GB SSD,"15.6""",1.98kg
79,"Microsoft Surface Pro 7 12.3"" Intel Core i7-1065G7 1.3GHz ", 16GB RAM , 1TB SSD,,"12.3""",790 g
80,"Lenovo ThinkPad X1 Yoga (2018) 14"" HDR WQHD IPS Intel Core i7-8650U 1.9GHz ", 16GB , 1TB SSD,,"14""",1.4kg
81,"Lenovo ThinkPad Z16 16"" AMD Ryzen 9 Pro 6950H 3.3GHz ", AMD Radeon RX 6500M , 32GB RAM , 2TB SSD,"16""",1.94kg
82,"HP Victus 15-fb0004np 15.6"" AMD Ryzen 5 5600H 3.3GHz ", Nvidia GeForce RTX 3050 Laptop , 16GB RAM , 512GB SSD,"15.6""",2.29kg
83,"Huawei MateBook 16"" AMD Ryzen 7 5800H 3.2GHz ",16GB RAM , 512GB SSD,,"16""",1.99kg
84,"MSI Crosshair 15 A11UDK-1099 15.6"" FHD Intel Core i7-11800H 2.4GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 8GB RAM , 512GB SSD,"15.6""",2.1kg
85,"Dell Alienware M15 R4 15.6"" Intel Core i7-10870H 2.2GHz ", Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 256GB SSD,"15.6""",2.5kg
86,"LG Gram Style 14Z90RS 14"" OLED Intel Core i7-1360P 2.2GHz ", 32GB RAM , 1TB SSD,,"14""",32GB
87,"Dell Latitude 7310 13.3"" Intel Core i7-10610U 1.8GHz ", 32GB RAM , 1TB SSD,,"13.3""",1.32kg
88,"HP EliteBook 850 G7 15.6"" Intel Core i7-10510U 1.8GHz ", 16GB RAM , 512GB SSD,,"15.6""",1.67kg
89,"HP Victus 16z-e000 16.1"" AMD Ryzen 5 5600H 3.3GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 64GB RAM , 1TB SSD,"16.1""",2.47kg
90,Asus ZenBook S UX391UA 13.3” Intel Core i7-8550U 1.8GHz , 16GB RAM , 512GB SSD,,"13.3""",1.05kg
91,"Dell G15 5510 15.6"" Intel Core i5-10500H 2.5GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 8GB RAM , 512GB SSD,"15.6""",2.44kg
92,"HP EliteBook 830 G7 13.3"" Intel Core i7-10610U 1.8GHz ", 8GB RAM , 256GB SSD,,"13.3""",1.24kg
93,"Acer Nitro 5 AN517-55-56G1 17.3"" Intel Core i5-12500H 2.5GHz ", Nvidia GeForce RTX 3050 Laptop , 8GB RAM , 512GB SSD,"17.3""",3kg
94,"Lenovo ThinkPad X1 Carbon (8th Gen) 14"" Intel Core i5-10210U 1.6GHz ", 8GB RAM , 256GB SSD,,"14""",1.09kg
95,Asus ZenBook 13 FHD UX325 Intel Core i5-1135G7 2.4GHz , 16GB RAM , 512GB SSD,,"13.3""",1.11kg
96,"Microsoft Surface Laptop Studio 14.4"" Intel Core i7-11370H 3.3GHz ", 32GB RAM , 2TB SSD,,"14.4""",1.82kg
97,"Microsoft Surface Laptop Studio 14.4"" Intel Core i7-11370H 3.3GHz ", 32GB RAM , 1TB SSD,,"14.4""",1.82kg
98,"Microsoft Surface Laptop Studio 14.4"" Intel Core i7-11370H 3.3GHz ", 16GB RAM , 512GB SSD,,"14.4""",1.82kg
99,"Lenovo IdeaPad Flex 5 Gen 8 16"" WUXGA AMD Ryzen 7 7730U 2GHz ", 16GB RAM , 512GB SSD,,"16""",2.1kg
