,laptop name,GPU,Main Memory,Secondary Memory,Screen Dimension,Weight
109,"['Dell Alienware M17 R3 (2020) 17.3"" Intel Core i9-10980HK 2.4GHz ', 'Lenovo ThinkPad X1 Carbon Gen 9 14"" Intel Core i5-1135G7 2.4GHz ', 'MSI Crosshair 15 A11UEK-205 15.6"" FHD Intel Core i7-11800H 2.4GHz ', 'Asus TUF Gaming A15 FA506QM 15.6"" AMD Ryzen 7 5800H 3.2GHz ', 'Razer Blade 15 Advanced (2020) 15.6"" OLED Intel Core i7-10875H 2.3GHz ', 'HP Victus 15-fb0000np 15.6"" AMD Ryzen 5 5600H 3.3GHz ', 'Dell Latitude 7410 14"" Intel Core i7-10810U 1.1GHz ', 'MSI Katana GF66 12UE\t15.6"" Intel Core i7-11800H 2.3GHz ', 'Lenovo ThinkBook 15 Gen 4 15.6"" FHD Intel Core i3-1215U 1.2GHz ', 'LG Gram (2023) 14Z90R 14"" WUXGA Intel Core i5-1340P 1.9GHz ', 'Dell Alienware M15 R3 (2020) 15.6"" Intel Core i9-10980HK 2.4GHz ', 'HP EliteBook 865 G9 16"" WUXGA AMD Ryzen 7 Pro 6850HS 3.2GHz ', 'MSI GF63 Thin 12VF 15.6"" FHD Intel Core i5-12450H 2GHz ', 'HP EliteBook 840 G7 14"" Intel Core i5-10310U 1.7GHz ', 'MSI Summit E14 Evo A12M-026 14"" FHD+ Intel Core i5-1240P 1.2GHz ', 'HP Pavilion Plus 14-ew0005np 14"" Intel Core i5-1335U 1.3GHz ', 'HP Elite Dragonfly G2 13.3"" Intel Core i5-1135G7 2.4GHz ', 'Asus Zenbook S 13 OLED (UM5302) 13.3"" AMD Ryzen 7 6800U 2.7GHz ', 'MSI GF63 Thin 12UC 15.6"" FHD Intel Core i7-12650H 2.3GHz ', 'Huawei MateBook 16s (2022) 16"" Intel Core i9-12900H 2.5GHz ', 'Dell XPS 15 7590 15.6"" UHD OLED Intel Core i7-9750H 2.6GHz ', 'HP EliteBook 850 G8 15.6"" Intel Core i5-1135G7 2.4GHz ', 'Honor MagicBook V 14 14.2"" Intel Core i5-11320H 3.2GHz ', 'HP EliteBook 865 G9 16"" WUXGA AMD Ryzen 7 6800U 2.7GHz ', 'HP EliteBook 865 G9 16"" WUXGA AMD Ryzen 7 Pro 6850U 2.7GHz ', 'MSI Alpha 17 B5EEK 17.3"" FHD AMD Ryzen 7 5800H 2.8GHz ', 'Lenovo Legion 5i 15 Intel Core i7-10750H 2.6GHz ', 'HP Spectre x360 15.6"" Intel Core i7-8705G 3.1GHz ', 'Microsoft Surface Laptop 5 15"" Intel Core i7-1255U 1.7GHz ', 'Asus ROG Mothership GZ700 FHD 17"" Intel Core i9-9980HK 2.4GHz ', 'Lenovo ThinkPad E16 Gen 1 16"" WUXGA AMD Ryzen 3 7330U 2.3GHz ', 'VAIO SX14 Intel Core i7-10710U 1.1GHz ', 'Lenovo ThinkPad X1 Carbon (8th Gen) 14"" Intel Core i7-10510U 1.8GHz ', 'MSI Katana GF66 12UCOK 15.6"" FHD Intel Core i7-12650H 2.3GHz ', 'Razer Blade Stealth 13 Oled Intel Core i7-1165G7 2.8GHz ', 'Lenovo ThinkPad X12 Detachable Intel Core i5-1130G7 1.8GHz ', 'Dell G15 5515 15.6"" AMD Ryzen 7 5800H 3.2GHz ', 'Xiaomi Notebook Pro 120G 14"" Intel Core i5-12450H 2GHz ', 'MSI WF76 11UJ-299 17.3"" FHD Intel Core i7-11800H 2.4GHz ', 'HP Pavilion x360 2-in-1 14-ek1002np 14"" Intel Core i7-1355U 1.7GHz ', 'LG Gram 14 (14Z90P) Intel Core i5-1135G7 2.4GHz ', 'MSI Cyborg 15 A12VF 15.6"" FHD Intel Core i5-12450H 2GHz ', 'Asus ZenBook Flip 15 UX564 Intel Core i7-11370H 3.3GHz ', 'MSI Prestige 15 A11SC-045 15.6"" UHD Intel Core i7-1195G7 2.9GHz ', 'Asus ExpertBook B9 OLED 14"" Intel Core i7-1355U 1.7GHz ', 'Acer Nitro 16 AN16-51-56VR 16"" Intel Core i5-13500H 2.6GHz ', 'Lenovo ThinkPad X13 Intel Core i7-10610U 1.8GHz ', 'Infinix Zero Book Ultra 15.6"" Intel Core i9-12900H 2.5GHz ', 'Asus Zenbook 14 Flip OLED UN5401QA 14"" AMD Ryzen 9 5900HX 3.3GHz ', 'Lenovo Legion 5 15.6"" AMD Ryzen 7 4800H 2.9GHz ', 'HP Elite Dragonfly G2 13.3"" Intel Core i5-1145G7 2.6GHz ', 'Honor MagicBook 14 (2022) Intel Core i5-12500H 2.5GHz ', 'Apple MacBook Air (2022) 13.6"" Apple M2 8-core ', 'MSI WF76 11UI-647 17.3"" FHD Intel Core i7-11800H 2.4GHz ', 'Acer Nitro 5 15.6"" Intel Core i5-11400H 2.7GHz ', 'Microsoft Surface Pro 7 12.3"" Intel Core i5-1035G4 1.1GHz ', 'Lenovo ThinkPad X12 Detachable Intel Core i3-1110G4 1.8GHz ', 'Acer Swift Go 14 SFG14-71-785V 14"" Intel Core i7-13700H 2.4GHz ', 'Asus ZenBook Duo 14 UX482 Intel Core i7-1165G7 2.8GHz ', 'Apple MacBook Pro 16"" Intel Core i7 2.6GHz ', 'Lenovo Yoga C930 13.9"" UHD Intel Core i7-8550U 1.8GHz ', 'Asus ROG Strix G15 G513 AMD Ryzen 7 4800H 2.9GHz ', 'Voyo Vbook i7 Plus 12.6"" Intel Core i7-7500U 2.7GHz ', 'Samsung Galaxy Book2 Pro 360 15.6"" Intel Core i7-1260P 2.1GHz ', 'MSI GF63 Thin 11UD 15.6"" FHD Intel Core i7-11800H 2.3GHz ', 'Apple MacBook Air (2020) 13.3"" Apple M1 ', 'MSI WF66 11UI-268 15.6"" Intel Core i7-11800H 2.4GHz ', 'Lenovo ThinkPad X1 Yoga (2018) 14"" FHD IPS Intel Core i5-8250U 1.6GHz ', 'HP Spectre x360 15.6"" Intel Core i7-8550U 1.8GHz ', 'Lenovo ThinkPad X13 Intel Core i5-10310U 1.7GHz ', 'Lenovo Legion 5i 15 Intel Core i7-10750H 2.6GHz ', 'Xiaomi RedmiBook Pro 15 Intel Core i7-11370H 3.3GHz ', 'Lenovo Yoga C930 13.9"" Intel Core i5-8250U 1.6GHz ', 'Dell XPS 17"" (2020) Intel Core i7-10750H 2.6GHz ', 'Acer Nitro 5 AN515-46-R319 15.6"" AMD Ryzen 5 6600H 3.3GHz ', 'Asus ExpertBook B9 14” Intel Core i7-1165G7 2.8GHz ', 'MSI Prestige 15 A11SC-044 15.6"" FHD Intel Core i7-1195G7 2.9GHz ', 'Huawei MateBook D 14 (2022) 14"" Intel Core i7-1260P 2.1GHz ', 'MSI Cyborg 15 A12UCX\t15.6"" FHD Intel Core i5-12450H 2GHz ', 'Microsoft Surface Pro 7 12.3"" Intel Core i7-1065G7 1.3GHz ', 'Lenovo ThinkPad X1 Yoga (2018) 14"" HDR WQHD IPS Intel Core i7-8650U 1.9GHz ', 'Lenovo ThinkPad Z16 16"" AMD Ryzen 9 Pro 6950H 3.3GHz ', 'HP Victus 15-fb0004np 15.6"" AMD Ryzen 5 5600H 3.3GHz ', 'Huawei MateBook 16"" AMD Ryzen 7 5800H 3.2GHz ', 'MSI Crosshair 15 A11UDK-1099 15.6"" FHD Intel Core i7-11800H 2.4GHz ', 'Dell Alienware M15 R4 15.6"" Intel Core i7-10870H 2.2GHz ', 'LG Gram Style 14Z90RS 14"" OLED Intel Core i7-1360P 2.2GHz ', 'Dell Latitude 7310 13.3"" Intel Core i7-10610U 1.8GHz ', 'HP EliteBook 850 G7 15.6"" Intel Core i7-10510U 1.8GHz ', 'HP Victus 16z-e000 16.1"" AMD Ryzen 5 5600H 3.3GHz ', 'Asus ZenBook S UX391UA 13.3” Intel Core i7-8550U 1.8GHz ', 'Dell G15 5510 15.6"" Intel Core i5-10500H 2.5GHz ', 'HP EliteBook 830 G7 13.3"" Intel Core i7-10610U 1.8GHz ', 'Acer Nitro 5 AN517-55-56G1 17.3"" Intel Core i5-12500H 2.5GHz ', 'Lenovo ThinkPad X1 Carbon (8th Gen) 14"" Intel Core i5-10210U 1.6GHz ', 'Asus ZenBook 13 FHD UX325 Intel Core i5-1135G7 2.4GHz ', 'Microsoft Surface Laptop Studio 14.4"" Intel Core i7-11370H 3.3GHz ', 'Microsoft Surface Laptop Studio 14.4"" Intel Core i7-11370H 3.3GHz ', 'Microsoft Surface Laptop Studio 14.4"" Intel Core i7-11370H 3.3GHz ', 'Lenovo IdeaPad Flex 5 Gen 8 16"" WUXGA AMD Ryzen 7 7730U 2GHz ']","[' 32GB RAM ', ' 8GB RAM ', ' Nvidia GeForce RTX 3060 Laptop ', ' Nvidia GeForce RTX 3060 Laptop ', ' 16GB RAM ', ' AMD Radeon RX 6500M ', ' 16GB RAM ', ' Nvidia GeForce RTX 3060 Laptop ', ' 8GB RAM ', ' 8GB RAM ', ' 32GB RAM ', ' 64GB RAM ', ' Nvidia GeForce RTX 4060 Laptop ', ' 8GB RAM ', ' 16GB RAM ', ' 16GB RAM ', ' 16GB RAM ', ' 16GB RAM ', ' Nvidia GeForce RTX 3050 Laptop ', ' 16GB RAM ', ' Nvidia GeForce GTX 1650 Laptop ', ' 8GB RAM ', ' 16GB RAM ', ' 64GB RAM ', ' 64GB RAM ', ' AMD Radeon RX 6600M ', ' Nvidia GeForce RTX 2060 Laptop ', ' 16GB ', ' 32GB RAM ', ' 64GB RAM ', ' 24GB RAM ', ' 16GB RAM ', ' 16GB RAM ', ' Nvidia GeForce RTX 3050 Laptop ', ' 16GB RAM ', ' 16GB RAM ', ' Nvidia GeForce RTX 3060 Laptop ', ' Nvidia GeForce MX550 Laptop ', ' Nvidia RTX A2000 Laptop ', ' 16GB RAM ', ' 8GB RAM ', ' Nvidia GeForce RTX 4050 Laptop ', ' 16GB RAM ', ' Nvidia GeForce GTX 1650 Laptop ', ' 16GB RAM ', ' Nvidia GeForce RTX 4050 Laptop ', ' 16GB RAM ', ' 32GB RAM ', ' 16GB RAM ', ' Nvidia GeForce GTX 1650 Laptop ', ' 16GB RAM ', ' Nvidia GeForce RTX 2050 Laptop ', ' 24GB RAM ', ' Nvidia Quadro T1200 ', ' Nvidia GeForce GTX 1650 Laptop ', ' 16GB RAM ', ' 8GB RAM ', ' 16GB RAM ', ' 16GB RAM ', ' 16GB RAM ', ' 16GB RAM ', ' Nvidia GeForce GTX 1650 Laptop ', ' 16GB RAM ', ' 16GB RAM ', ' Nvidia GeForce RTX 3050 Ti Laptop ', ' 8GB RAM ', ' Nvidia Quadro T1200 ', ' 8GB RAM ', ' 16GB ', ' 16GB RAM ', ' Nvidia GeForce GTX 1660 Ti Laptop ', ' 16GB RAM ', ' 8GB RAM ', ' 8GB RAM ', ' Nvidia GeForce RTX 3060 Laptop ', ' 16GB RAM ', ' Nvidia GeForce GTX 1650 Laptop ', ' 16GB RAM ', ' Nvidia GeForce RTX 2050 Laptop ', ' 16GB RAM ', ' 16GB ', ' AMD Radeon RX 6500M ', ' Nvidia GeForce RTX 3050 Laptop ', '16GB RAM ', ' Nvidia GeForce RTX 3050 Ti Laptop ', ' Nvidia GeForce RTX 3060 Laptop ', ' 32GB RAM ', ' 32GB RAM ', ' 16GB RAM ', ' Nvidia GeForce RTX 3050 Ti Laptop ', ' 16GB RAM ', ' Nvidia GeForce RTX 3050 Ti Laptop ', ' 8GB RAM ', ' Nvidia GeForce RTX 3050 Laptop ', ' 8GB RAM ', ' 16GB RAM ', ' 32GB RAM ', ' 32GB RAM ', ' 16GB RAM ', ' 16GB RAM ']","[' 4TB SSD + 512GB SSD', ' 256GB SSD', ' 16GB RAM ', ' 16GB RAM ', ' 1TB SSD', ' 8GB RAM ', ' 256GB SSD', ' 16GB RAM ', ' 256GB SSD', ' 512GB SSD', ' 4TB SSD + 512GB SSD', ' 2TB SSD', ' 16GB RAM ', ' 256GB SSD', ' 512GB SSD', ' 512GB SSD', ' 512GB SSD', ' 1TB SSD', ' 16GB RAM ', ' 1TB SSD', ' 64GB RAM ', ' 256GB SSD', ' 512GB SSD', ' 2TB SSD', ' 2TB SSD', ' 16GB RAM ', ' 16GB RAM ', ' 512GB SSD', ' 1TB SSD', ' 1.5TB SSD', ' 512GB SSD + 1TB SSD', ' 1TB SSD', ' 512GB SSD', ' 16GB RAM ', ' 512GB SSD', ' 512GB SSD', ' 16GB RAM ', ' 16GB RAM ', ' 16GB RAM ', ' 512GB SSD', ' 256GB SSD', ' 16GB RAM ', ' 1TB SSD', ' 32GB RAM ', ' 1TB SSD', ' 8GB RAM ', ' 1TB SSD', ' 1TB SSD', ' 512GB SSD', ' 8GB RAM ', ' 512GB SSD', ' 16GB RAM ', ' 2TB SSD', ' 64GB RAM ', ' 8GB RAM ', ' 256GB SSD', ' 256GB SSD', ' 512GB SSD', ' 1TB SSD', ' 512GB SSD', ' 1TB SSD', ' 16GB RAM ', ' 512GB SSD', ' 1TB SSD', ' 16GB RAM ', ' 512GB SSD', ' 16GB RAM ', ' 512GB SSD', ' 512GB SSD', ' 512GB SSD', ' 8GB RAM ', ' 512GB SSD', ' 256GB SSD', ' 512GB SSD', ' 8GB RAM ', ' 1TB SSD', ' 16GB RAM ', ' 512GB SSD', ' 16GB RAM ', ' 1TB SSD', ' 1TB SSD', ' 32GB RAM ', ' 16GB RAM ', ' 512GB SSD', ' 8GB RAM ', ' 16GB RAM ', ' 1TB SSD', ' 1TB SSD', ' 512GB SSD', ' 64GB RAM ', ' 512GB SSD', ' 8GB RAM ', ' 256GB SSD', ' 8GB RAM ', ' 256GB SSD', ' 512GB SSD', ' 2TB SSD', ' 1TB SSD', ' 512GB SSD', ' 512GB SSD']","[None, None, ' 512GB SSD', ' 1TB SSD', None, ' 512GB SSD', None, ' 512GB SSD', None, None, None, None, ' 512GB SSD', None, None, None, None, None, ' 1TB SSD', None, ' 1TB SSD', None, None, None, None, ' 512GB SSD', ' 1TB HDD + 512GB SSD', None, None, None, None, None, None, ' 512GB SSD', None, None, ' 512GB SSD', ' 512GB SSD', ' 1TB SSD', None, None, ' 512GB SSD', None, ' 1TB SSD', None, ' 512GB SSD', None, None, None, ' 512GB SSD', None, ' 512GB SSD', None, ' 2TB SSD', ' 256GB SSD', None, None, None, None, None, None, ' 1TB SSD', None, None, ' 512GB SSD', None, ' 512GB SSD', None, None, None, ' 1TB HDD + 512GB SSD', None, None, None, ' 512GB SSD', None, ' 1TB SSD', None, ' 512GB SSD', None, None, ' 2TB SSD', ' 512GB SSD', None, ' 512GB SSD', ' 256GB SSD', None, None, None, ' 1TB SSD', None, ' 512GB SSD', None, ' 512GB SSD', None, None, None, None, None, None]","['17.3""', '14""', '15.6""', '15.6""', '15.6""', '15.6""', '14""', '15.6""', '15.6""', '14""', '15.6""', '16""', '15.6""', '14""', '14""', '14""', '13.3""', '13.3""', '15.6""', '16""', '15.6""', '15.6""', '14.2""', '16""', '16""', '17.3""', '15.6""', '15.6""', '15""', '17.3""', '16""', '14""', '14""', '15.6""', '13.3""', '12.3""', '15.6""', '14""', '17.3""', '14""', '14""', '15.6""', '15.6""', '15.6""', '14""', '16""', '13.3""', '15.6""', '14""', '15.6""', '13.3""', '14""', '13.6""', '17.3""', '15.6""', '12.3""', '12.3""', '14""', '14""', '16""', '13.9""', '15.6""', '12.6""', '15.6""', '15.6""', '13.3""', '15.6""', '14""', '15.6""', '13.3""', '15.6""', '15.6""', '13.9""', '17""', '15.6""', '14""', '15.6""', '14""', '15.6""', '12.3""', '14""', '16""', '15.6""', '16""', '15.6""', '15.6""', '14""', '13.3""', '15.6""', '16.1""', '13.3""', '15.6""', '13.3""', '17.3""', '14""', '13.3""', '14.4""', '14.4""', '14.4""', '16""']","['2.97kg', '1.13kg', '2.1kg', '2.3kg', '2.2kg', '2.29kg', '1.46kg', '2.25kg', '1.7kg', '997 g', '2.5kg', '1.74kg', '1.86kg', '1.34kg', '2.54kg', '1.38kg', '988.8 g', '1kg', '1.86kg', '1.9kg', '1.8kg', '1.68kg', '1.48kg', '1.74kg', '1.74kg', '2.55kg', '2.3kg', '2.14kg', '1.54kg', '4.8kg', '1.97kg', '1.06kg', '1.09kg', '2.25kg', '1.41kg', '1.2kg', '2.45kg', '1.4kg', '2.6kg', '1.51kg', '999 g', '1.98kg', '1.9kg', '1.69kg', '990 g', '2.8kg', '1.29kg', '1.8kg', '1.4kg', '2.3kg', '988.8 g', '1.58kg', '1.24kg', '2.6kg', '2.3kg', '775 g', '1.2kg', '1.3kg', '1.62kg', '2kg', '1.38kg', '2.1kg', '900 g', '1.41kg', '1.86kg', '1.29kg', '2.25kg', '1.4kg', '2.14kg', '1.29kg', '2.3kg', '1.79kg', '1.38kg', '2.11kg', '2kg', '880 g', '1.69kg', '1.38kg', '1.98kg', '790 g', '1.4kg', '1.94kg', '2.29kg', '1.99kg', '2.1kg', '2.5kg', '32GB', '1.32kg', '1.67kg', '2.47kg', '1.05kg', '2.44kg', '1.24kg', '3kg', '1.09kg', '1.11kg', '1.82kg', '1.82kg', '1.82kg', '2.1kg']"
110,"Lenovo ThinkPad X1 Extreme 16"" WQUXGA Intel Core i9-12900H 2.5GHz ", Nvidia GeForce RTX 3080 Ti Laptop , 64GB RAM , 4TB SSD,"16""",1.88kg
111,"Lenovo ThinkPad X1 Extreme 16"" WQUXGA Intel Core i9-12900H 2.5GHz ", Nvidia GeForce RTX 3080 Ti Laptop , 64GB RAM , 8TB SSD,"16""",1.88kg
112,"MSI Titan 18 HX A14VIG 18"" UHD Plus Intel Core i9-14900HX 2.2GHz ", Nvidia GeForce RTX 4090 Laptop , 128GB RAM , 2TB SSD + 2TB SSD,"18""",3.6kg
113,"Lenovo Legion 9i Gen 8 16"" Intel Core i9-13980HX 2.2GHz ", Nvidia GeForce RTX 4090 Laptop , 64GB RAM , 2TB SSD,"16""",2.55kg
114,"Asus ROG Zephyrus Duo 16 (2023) 16"" QHD Plus AMD Ryzen 9 7945HX 2.5GHz ", Nvidia GeForce RTX 4090 Laptop , 64GB RAM , 2TB SSD + 2TB SSD,"16""",2.67kg
115,"Lenovo ThinkPad X1 Extreme 16"" WQUXGA Intel Core i7-12800H 1.8GHz ", Nvidia GeForce RTX 3070 Ti Laptop , 64GB RAM , 4TB SSD,"16""",1.88kg
116,"MSI Titan 18 HX A14VHG 18"" UHD Plus Intel Core i9-14900HX 2.2GHz ", Nvidia GeForce RTX 4080 Laptop , 64GB RAM , 2TB SSD + 2TB SSD,"18""",3.6kg
117,"Asus ROG Strix G18 (2023) 18"" QHD Plus Intel Core i9-13980HX 2.2GHz ", Nvidia GeForce RTX 4080 Laptop , 96GB RAM , 16TB SSD,"18""",3kg
118,"Dell Alienware M18 18"" QHD Plus Intel Core i9-13900HX 2.2GHz ", Nvidia GeForce RTX 4090 Laptop , 64GB RAM , 4TB SSD + 4TB SSD,"18""",4.04kg
119,"Asus ROG Strix Scar 17 (2023) 17.3"" WQHD AMD Ryzen 9 7945HX 2.5GHz ", Nvidia GeForce RTX 4090 Laptop , 64GB RAM , 2TB SSD,"17.3""",3kg
120,"Asus ROG Strix Scar 18 (2023) 18"" QHD Plus Intel Core i9-13980HX 2.2GHz ", Nvidia GeForce RTX 4090 Laptop , 64GB RAM , 2TB SSD + 2TB SSD,"18""",3.1kg
121,"Asus ROG Zephyrus Duo 16 (2023) 16"" QHD Plus AMD Ryzen 9 7945HX 2.5GHz ", Nvidia GeForce RTX 4080 Laptop , 64GB RAM , 2TB SSD + 2TB SSD,"16""",2.67kg
122,"Asus ROG Zephyrus M16 (2023) 16"" QHD Plus Intel Core i9-13900H 2.6GHz ", Nvidia GeForce RTX 4090 Laptop , 64GB RAM , 2TB SSD,"16""",2.3kg
123,"Razer Blade 18 (2023) 18"" QHD Plus Intel Core i9-13980HX 2.2GHz ", Nvidia GeForce RTX 4090 Laptop , 64GB RAM , 2TB SSD,"18""",3.1kg
124,"Dell Alienware m18 R2 18"" QHD Plus Intel Core i9-14900HX 2.2GHz ", Nvidia GeForce RTX 4090 Laptop , 64GB RAM , 4TB SSD + 4TB SSD,"18""",4.23kg
125,"Razer Blade 18 (2023) 18"" QHD Plus Intel Core i9-13950HX 2.2GHz ", Nvidia GeForce RTX 4090 Laptop , 32GB RAM , 1TB SSD + 1TB SSD,"18""",3.1kg
126,"Lenovo ThinkPad X1 Extreme 16"" WQUXGA Intel Core i7-12800H 1.8GHz ", Nvidia GeForce RTX 3050 Ti Laptop , 64GB RAM , 4TB SSD + 4TB SSD,"16""",1.88kg
127,"Razer Blade 16 (2023) 16"" UHD Plus Intel Core i9-13950HX 2.2GHz ", Nvidia GeForce RTX 4090 Laptop , 32GB RAM , 1TB SSD + 1TB SSD,"16""",2.45kg
128,Acer Predator Triton 17 X (2023) Intel Core i9-13900HX 2.2GHz , Nvidia GeForce RTX 4090 Laptop , 64GB RAM , 2TB SSD,"17""",3kg
129,"Dell Alienware M16 16"" QHD Plus Intel Core i9-13900HX 2.2GHz ", Nvidia GeForce RTX 4090 Laptop , 64GB RAM , 4TB SSD + 4TB SSD,"16""",3.25kg
130,"Asus Zenbook Pro 16X OLED UX7602BZ 16"" Intel Core i9-13905H 2.6GHz ", Nvidia GeForce RTX 4080 Laptop , 16GB RAM , 2TB SSD,"16""",2.4kg
131,"Asus ROG Strix Scar 17 (2023) 17.3"" WQHD AMD Ryzen 9 7945HX 2.5GHz ", Nvidia GeForce RTX 4080 Laptop , 64GB RAM , 2TB SSD,"17.3""",3kg
132,"Gigabyte Aorus 17X AZF (2023) 17.3"" Intel Core i9-13980HX 2.2GHz ", Nvidia GeForce RTX 4090 Laptop , 32GB RAM , 2TB SSD,"17.3""",2.8kg
133,"Asus ROG Strix Scar 18 (2023) 18"" QHD Plus Intel Core i9-13980HX 2.2GHz ", Nvidia GeForce RTX 4080 Laptop , 64GB RAM , 2TB SSD + 2TB SSD,"18""",3.1kg
134,"Dell Alienware M18 18"" QHD Plus Intel Core i9-13900HX 2.2GHz ", Nvidia GeForce RTX 4080 Laptop , 64GB RAM , 4TB SSD + 4TB SSD,"18""",4.04kg
135,"MSI GT77 Titan 12UGS-008 17.3"" UHD Intel Core i9-12900HX 1.5GHz ", Nvidia GeForce RTX 3070 Ti Laptop , 128GB RAM , 2TB SSD,"17.3""",3.3kg
136,"Asus ROG Zephyrus Duo 16 (2023) 16"" QHD Plus AMD Ryzen 9 7945HX 2.5GHz ", Nvidia GeForce RTX 4070 Laptop , 64GB RAM , 2TB SSD + 2TB SSD,"16""",2.67kg
137,"Lenovo Legion Pro 7i 16"" WQXGA Intel Core i9-13900HX 2.2GHz ", Nvidia GeForce RTX 4080 Laptop , 32GB RAM , 1TB SSD + 1TB SSD,"16""",2.8kg
138,"Samsung Galaxy Book4 Ultra 16"" Intel Core Ultra 9 185H 2.3GHz ", Nvidia GeForce RTX 4070 Laptop , 32GB RAM , 2TB SSD,"16""",1.86kg
139,"Asus ROG Zephyrus M16 (2023) 16"" QHD Plus Intel Core i9-13900H 2.6GHz ", Nvidia GeForce RTX 4080 Laptop , 64GB RAM , 2TB SSD,"16""",2.3kg
140,"Razer Blade 16 (2023) 16"" QHD Plus Intel Core i9-13950HX 2.2GHz ", Nvidia GeForce RTX 4080 Laptop , 32GB RAM , 1TB SSD,"16""",2.45kg
141,"Razer Blade 18 (2023) 18"" QHD Plus Intel Core i9-13950HX 2.2GHz ", Nvidia GeForce RTX 4080 Laptop , 32GB RAM , 1TB SSD,"18""",3.1kg
142,"Dell Alienware m18 R2 18"" QHD Plus Intel Core i9-14900HX 2.2GHz ", Nvidia GeForce RTX 4080 Laptop , 64GB RAM , 4TB SSD + 4TB SSD,"18""",4.23kg
143,"Asus ROG Strix G16 (2023) 16"" QHD Plus Intel Core i9-13980HX 2.2GHz ", Nvidia GeForce RTX 4080 Laptop , 32GB RAM , 2TB SSD,"16""",2.5kg
144,"Asus ROG Zephyrus Duo 16 (2023) 16"" QHD Plus AMD Ryzen 9 7945HX 2.5GHz ", Nvidia GeForce RTX 4060 Laptop , 64GB RAM , 2TB SSD + 2TB SSD,"16""",2.67kg
145,"Asus ROG Zephyrus G14 (2023) 14"" QHD Plus AMD Ryzen 9 7940HS 4GHz ", Nvidia GeForce RTX 4090 Laptop , 32GB RAM , 1TB SSD,"14""",1.72kg
146,"Asus ROG Zephyrus Duo 16 (2022) GX650 16"" AMD Ryzen 9 6900HX 3.3GHz ", Nvidia GeForce RTX 3080 Ti Laptop , 64GB RAM , 4TB SSD + 4TB SSD,"16""",2.55kg
147,"Asus ROG Strix G18 (2023) 18"" QHD Plus Intel Core i9-13980HX 2.2GHz ", Nvidia GeForce RTX 4070 Laptop , 64GB RAM , 4TB SSD,"18""",3kg
148,"MSI GT77 Titan 12UHS-006 17.3"" UHD Intel Core i9-12900HX 2.3GHz ", Nvidia GeForce RTX 3080 Ti Laptop , 64GB RAM , 2TB SSD,"17.3""",3.3kg
149,"Asus ROG Strix Scar 16 (2023) 16"" QHD Plus Intel Core i9-13980HX 2.2GHz ", Nvidia GeForce RTX 4090 Laptop , 64GB RAM , 2TB SSD + 2TB SSD,"16""",2.6kg
150,"Dell Alienware M16 16"" QHD Plus Intel Core i9-13900HX 2.2GHz ", Nvidia GeForce RTX 4080 Laptop , 64GB RAM , 4TB SSD + 4TB SSD,"16""",3.25kg
151,"Asus ROG Zephyrus Duo 16 (2022) GX650 16"" AMD Ryzen 9 6900HX 3.3GHz ", Nvidia GeForce RTX 3080 Laptop , 64GB RAM , 2TB SSD + 2TB SSD,"16""",2.55kg
152,"Gigabyte Aorus 17X AZF (2023) 17.3"" Intel Core i9-13950HX 2.2GHz ", Nvidia GeForce RTX 4090 Laptop , 32GB RAM , 2TB SSD,"17.3""",2.8kg
153,"Razer Blade 17 (2022) 17.3"" UHD Intel Core i9-12900H 1.8GHz ", Nvidia GeForce RTX 3080 Ti Laptop , 32GB RAM , 1TB SSD,"17.3""",2.75kg
154,"Gigabyte Aorus 17X AXF (2023) 17.3"" Intel Core i9-13900HX 2.2GHz ", Nvidia GeForce RTX 4080 Laptop , 16GB RAM , 1TB SSD,"17.3""",2.8kg
155,"Dell Alienware x17 R2 (2022) 17.3"" UHD Intel Core i7-12700H 2.3GHz ", Nvidia GeForce RTX 3080 Ti Laptop , 64GB RAM , 2TB SSD + 2TB SSD,"17.3""",3.03kg
156,"HP Omen 17-ck2781ng 17"" Intel Core i9-13900HX 2.2GHz ", Nvidia GeForce RTX 4080 Laptop , 32GB RAM , 1TB SSD,"17.3""",2.78kg
157,Acer Predator Helios 16 (2023) Intel Core i9-13900HX 2.2GHz , Nvidia GeForce RTX 4080 Laptop , 32GB RAM , 2TB SSD,"16""",2.6kg
158,"Razer Blade 15 (2022) 15.6"" UHD Intel Core i9-12900H 1.8GHz ", Nvidia GeForce RTX 3080 Ti Laptop , 32GB RAM , 1TB SSD,"15.6""",2kg
159,Dell Alienware X17 R1 Intel Core i9-11980HK 2.6GHz , Nvidia GeForce RTX 3080 Laptop , 64GB RAM , 4TB SSD,"17.3""",3.2kg
160,"Asus ROG Zephyrus Duo 16 (2022) GX650 16"" AMD Ryzen 9 6900HX 3.3GHz ", Nvidia GeForce RTX 3070 Ti Laptop , 64GB RAM , 8TB SSD + 8TB SSD,"16""",2.6kg
161,"Gigabyte Aorus 17X AZF (2023) 17.3"" Intel Core i9-13900HX 2.2GHz ", Nvidia GeForce RTX 4090 Laptop , 32GB RAM , 2TB SSD,"17.3""",2.8kg
162,"Dell Alienware x17 R2 (2022) 17.3"" UHD Intel Core i9-12900HK 2.5GHz ", Nvidia GeForce RTX 3080 Ti Laptop , 64GB RAM , 2TB SSD + 2TB SSD,"17.3""",3kg
