,A,B,laptop name,GPU,Main Memory,Secondary Memory,Screen Dimension,Weight
42,,,"HP EliteBook 860 G10 16"" Intel Core i7-1360P 2.2GHz ", 16GB RAM , 512GB SSD,,"16""",1.73kg
43,,,"Acer Nitro 5 (2023) 15.6"" Intel Core i5-12450H 2GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 512GB SSD,"15.6""",2.5kg
44,,,"HP Victus 15-fb0000np 15.6"" AMD Ryzen 5 5600H 3.3GHz ", AMD Radeon RX 6500M , 8GB RAM , 512GB SSD,"15.6""",2.29kg
45,,,"Acer Nitro V 16 (2024) 16"" AMD Ryzen 5 8645HS 4.3GHz ", Nvidia GeForce RTX 4050 Laptop , 8GB RAM , 512GB SSD,"16""",2.5kg
46,,,"HP EliteBook 840 G7 14"" Intel Core i5-10310U 1.7GHz ", 8GB RAM , 256GB SSD,,"14""",1.34kg
47,,,"HP Elite Dragonfly G2 13.3"" Intel Core i5-1135G7 2.4GHz ", 16GB RAM , 512GB SSD,,"13.3""",988.8 g
48,,,"MSI Crosshair 15 A11UEK-205 15.6"" FHD Intel Core i7-11800H 2.4GHz ", Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 512GB SSD,"15.6""",2.1kg
49,,,"HP EliteBook 865 G9 16"" WUXGA AMD Ryzen 7 Pro 6850HS 3.2GHz ", 64GB RAM , 2TB SSD,,"16""",1.74kg
50,,,"Asus TUF Gaming A15 FA506QM 15.6"" AMD Ryzen 7 5800H 3.2GHz ", Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 1TB SSD,"15.6""",2.3kg
51,,,"HP Spectre x360 15.6"" Intel Core i7-8705G 3.1GHz ", 16GB , 512GB SSD,,"15.6""",2.14kg
52,,,"MSI Katana GF66 12UE	15.6"" Intel Core i7-11800H 2.3GHz ", Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 512GB SSD,"15.6""",2.25kg
53,,,"LG Gram (2023) 14Z90R 14"" WUXGA Intel Core i5-1340P 1.9GHz ", 8GB RAM , 512GB SSD,,"14""",997 g
54,,,"HP Pavilion Plus 14-ew0005np 14"" Intel Core i5-1335U 1.3GHz ", 16GB RAM , 512GB SSD,,"14""",1.38kg
55,,,"HP EliteBook 850 G8 15.6"" Intel Core i5-1135G7 2.4GHz ", 8GB RAM , 256GB SSD,,"15.6""",1.68kg
56,,,"Asus ROG Mothership GZ700 FHD 17"" Intel Core i9-9980HK 2.4GHz ", 64GB RAM , 1.5TB SSD,,"17.3""",4.8kg
57,,,"Asus Zenbook S 13 OLED (UM5302) 13.3"" AMD Ryzen 7 6800U 2.7GHz ", 16GB RAM , 1TB SSD,,"13.3""",1kg
58,,,Razer Blade Stealth 13 Oled Intel Core i7-1165G7 2.8GHz , 16GB RAM , 512GB SSD,,"13.3""",1.41kg
59,,,"MSI GF63 Thin 12VF 15.6"" FHD Intel Core i5-12450H 2GHz ", Nvidia GeForce RTX 4060 Laptop , 16GB RAM , 512GB SSD,"15.6""",1.86kg
60,,,Lenovo ThinkPad X12 Detachable Intel Core i5-1130G7 1.8GHz , 16GB RAM , 512GB SSD,,"12.3""",1.2kg
61,,,Lenovo Legion 5i 15 Intel Core i7-10750H 2.6GHz , Nvidia GeForce RTX 2060 Laptop , 16GB RAM , 1TB HDD + 512GB SSD,"15.6""",2.3kg
62,,,"Honor MagicBook V 14 14.2"" Intel Core i5-11320H 3.2GHz ", 16GB RAM , 512GB SSD,,"14.2""",1.48kg
63,,,VAIO SX14 Intel Core i7-10710U 1.1GHz , 16GB RAM , 1TB SSD,,"14""",1.06kg
64,,,"Lenovo ThinkBook 14 Gen 6 14"" Intel Core i5-1335U 1.3GHz ", 16GB RAM , 1TB SSD,,"14""",1.38kg
65,,,"Huawei MateBook 16s (2022) 16"" Intel Core i9-12900H 2.5GHz ", 16GB RAM , 1TB SSD,,"16""",1.9kg
66,,,"Microsoft Surface Laptop 5 15"" Intel Core i7-1255U 1.7GHz ", 32GB RAM , 1TB SSD,,"15""",1.54kg
67,,,"Lenovo ThinkPad X1 Carbon (8th Gen) 14"" Intel Core i7-10510U 1.8GHz ", 16GB RAM , 512GB SSD,,"14""",1.09kg
68,,,"HP EliteBook 865 G9 16"" WUXGA AMD Ryzen 7 6800U 2.7GHz ", 64GB RAM , 2TB SSD,,"16""",1.74kg
69,,,"HP EliteBook 865 G9 16"" WUXGA AMD Ryzen 7 Pro 6850U 2.7GHz ", 64GB RAM , 2TB SSD,,"16""",1.74kg
70,,,"MSI GF63 Thin 12UC 15.6"" FHD Intel Core i7-12650H 2.3GHz ", Nvidia GeForce RTX 3050 Laptop , 16GB RAM , 1TB SSD,"15.6""",1.86kg
71,,,Asus ZenBook Flip 15 UX564 Intel Core i7-11370H 3.3GHz , 16GB RAM , 1TB SSD,,"15.6""",1.9kg
72,,,LG Gram 14 (14Z90P) Intel Core i5-1135G7 2.4GHz , 8GB RAM , 256GB SSD,,"14""",999 g
73,,,"MSI Alpha 17 B5EEK 17.3"" FHD AMD Ryzen 7 5800H 2.8GHz ", AMD Radeon RX 6600M , 16GB RAM , 512GB SSD,"17.3""",2.55kg
74,,,"HP Elite Dragonfly G2 13.3"" Intel Core i5-1145G7 2.6GHz ", 16GB RAM , 512GB SSD,,"13.3""",988.8 g
75,,,"Acer Nitro 16 AN16-51-56VR 16"" Intel Core i5-13500H 2.6GHz ", Nvidia GeForce RTX 4050 Laptop , 8GB RAM , 512GB SSD,"16""",2.8kg
76,,,"Dell G15 5515 15.6"" AMD Ryzen 7 5800H 3.2GHz ", Nvidia GeForce RTX 3060 Laptop , 16GB RAM , 512GB SSD,"15.6""",2.45kg
77,,,"Microsoft Surface Pro 7 12.3"" Intel Core i5-1035G4 1.1GHz ", 16GB RAM , 256GB SSD,,"12.3""",775 g
78,,,"Lenovo ThinkBook 15 Gen 4 15.6"" FHD Intel Core i3-1215U 1.2GHz ", 8GB RAM , 256GB SSD,,"15.6""",1.7kg
79,,,Lenovo ThinkPad X13 Intel Core i7-10610U 1.8GHz , 16GB RAM , 1TB SSD,,"13.3""",1.29kg
80,,,"Xiaomi Notebook Pro 120G 14"" Intel Core i5-12450H 2GHz ", Nvidia GeForce MX550 Laptop , 16GB RAM , 512GB SSD,"14""",1.4kg
81,,,"Dell XPS 15 7590 15.6"" UHD OLED Intel Core i7-9750H 2.6GHz ", Nvidia GeForce GTX 1650 Laptop , 64GB RAM , 1TB SSD,"15.6""",1.8kg
82,,,"HP Pavilion x360 2-in-1 14-ek1002np 14"" Intel Core i7-1355U 1.7GHz ", 16GB RAM , 512GB SSD,,"14""",1.51kg
83,,,"Lenovo Legion 5 15.6"" AMD Ryzen 7 4800H 2.9GHz ", Nvidia GeForce GTX 1650 Laptop , 8GB RAM , 512GB SSD,"15.6""",2.3kg
84,,,"MSI Prestige 15 A11SC-045 15.6"" UHD Intel Core i7-1195G7 2.9GHz ", Nvidia GeForce GTX 1650 Laptop , 32GB RAM , 1TB SSD,"15.6""",1.69kg
85,,,"Apple MacBook Air (2022) 13.6"" Apple M2 8-core ", 24GB RAM , 2TB SSD,,"13.6""",1.24kg
86,,,"MSI Katana GF66 12UCOK 15.6"" FHD Intel Core i7-12650H 2.3GHz ", Nvidia GeForce RTX 3050 Laptop , 16GB RAM , 512GB SSD,"15.6""",2.25kg
87,,,"Lenovo Yoga C930 13.9"" UHD Intel Core i7-8550U 1.8GHz ", 16GB RAM , 1TB SSD,,"13.9""",1.38kg
88,,,Lenovo ThinkPad X12 Detachable Intel Core i3-1110G4 1.8GHz , 8GB RAM , 256GB SSD,,"12.3""",1.2kg
89,,,"Lenovo ThinkPad E16 Gen 1 16"" WUXGA AMD Ryzen 3 7330U 2.3GHz ", 24GB RAM , 512GB SSD + 1TB SSD,,"16""",1.97kg
90,,,"Voyo Vbook i7 Plus 12.6"" Intel Core i7-7500U 2.7GHz ", 16GB RAM , 512GB SSD,,"12.6""",900 g
91,,,"MSI WF76 11UJ-299 17.3"" FHD Intel Core i7-11800H 2.4GHz ", Nvidia RTX A2000 Laptop , 16GB RAM , 1TB SSD,"17.3""",2.6kg
92,,,Asus ZenBook Duo 14 UX482 Intel Core i7-1165G7 2.8GHz , 16GB RAM , 1TB SSD,,"14""",1.62kg
93,,,"Acer Nitro 5 15.6"" Intel Core i5-11400H 2.7GHz ", Nvidia GeForce GTX 1650 Laptop , 8GB RAM , 256GB SSD,"15.6""",2.3kg
94,,,"MSI Cyborg 15 A12VF 15.6"" FHD Intel Core i5-12450H 2GHz ", Nvidia GeForce RTX 4050 Laptop , 16GB RAM , 512GB SSD,"15.6""",1.98kg
95,,,"Infinix Zero Book Ultra 15.6"" Intel Core i9-12900H 2.5GHz ", 32GB RAM , 1TB SSD,,"15.6""",1.8kg
96,,,"Asus Zenbook 14 Flip OLED UN5401QA 14"" AMD Ryzen 9 5900HX 3.3GHz ", 16GB RAM , 512GB SSD,,"14""",1.4kg
97,,,"Asus ExpertBook B9 OLED 14"" Intel Core i7-1355U 1.7GHz ", 16GB RAM , 1TB SSD,,"14""",990 g
98,,,Asus ROG Strix G15 G513 AMD Ryzen 7 4800H 2.9GHz , Nvidia GeForce GTX 1650 Laptop , 16GB RAM , 1TB SSD,"15.6""",2.1kg
99,,,"HP Spectre x360 15.6"" Intel Core i7-8550U 1.8GHz ", 16GB , 512GB SSD,,"15.6""",2.14kg
100,,,"MSI WF76 11UI-647 17.3"" FHD Intel Core i7-11800H 2.4GHz ", Nvidia Quadro T1200 , 64GB RAM , 2TB SSD,"17.3""",2.6kg
101,,,"Dell XPS 17"" (2020) Intel Core i7-10750H 2.6GHz ", 8GB RAM , 512GB SSD,,"17""",2.11kg
102,,,"Acer Swift Go 14 SFG14-71-785V 14"" Intel Core i7-13700H 2.4GHz ", 16GB RAM , 512GB SSD,,"14""",1.3kg
103,,,"Lenovo Yoga C930 13.9"" Intel Core i5-8250U 1.6GHz ", 8GB RAM , 256GB SSD,,"13.9""",1.38kg
104,,,Honor MagicBook 14 (2022) Intel Core i5-12500H 2.5GHz , Nvidia GeForce RTX 2050 Laptop , 16GB RAM , 512GB SSD,"14""",1.58kg
